Model,Price,7over,cvt,Disp,Hp,AWD,4WD_dummy,rear,SUV,Pickup,Minivan,Sports,Luxuary,Curb Weight(lb),length(inch),MPG_ovarall,Reliability,Hybrid
Volkswagen Golf Alltrack SE,30808,1,0,1.8,170,1,0,0,0,0,0,0,0,3470,180,25,3,0
Volkswagen Golf SportWagon,25965,1,0,1.8,170,0,0,0,0,0,0,1,0,3470,180,24,2,0
Volkswagen GTI Autobahn,31293,1,0,2,220,0,0,0,0,0,0,1,0,3160,166,29,2,0
Volkswagen Jetta GLI SE (MT),24095,1,0,2,210,0,0,0,0,0,0,0,0,3110,182,27,2,0
Volkswagen Jetta SE (1.4T),24095,1,0,1.4,150,0,0,0,0,0,0,0,0,3040,182,32,2,0
Volkswagen Passat SEL Premium (V6),34650,1,0,3.6,280,0,0,0,0,0,0,0,0,3510,192,23,4,0
Volkswagen Passat SE (1.8T),34650,1,0,2,174,0,0,0,0,0,0,0,0,3320,192,28,4,0
Volkswagen Tiguan SEL,31073,1,0,2,184,1,0,0,1,0,0,0,0,3860,185,25,2,0
Volvo S60 T5 Drive-E,47050,1,0,2,240,1,0,0,0,0,0,0,1,3610,182,25,3,0
Volvo S90 T6 Momentum (AWD),58125,1,0,2,316,1,0,0,0,0,0,0,1,4090,200,23,2,0
Volvo V60 Cross Country,49925,1,0,2,362,1,0,0,0,0,0,0,0,3930,183,21,3,0
Volvo V90,53950,1,0,2,250,1,0,0,0,0,0,0,0,4220,194,25,2,0
Volvo XC60 T6,49100,1,0,2,250,1,0,0,1,0,0,0,1,4150,185,23,2,0
Volvo XC90 T6 Momentum,75900,1,0,2,316,1,0,0,1,0,0,0,1,4600,195,20,1,0
